loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),avAudioRecorderPeakPower(dB),avAudioRecorderAveragePower(dB),label(N)
2019-12-21 12:08:33.479 -0500,11,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948112.9974,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.271984445875969,4.808186229622826,-9999,1576948113.429448,0.7857952117919922,37.29151153564453,-68.01235961914062,17.18887710571289,23.06333351135254,21.67070007324219,150761.644364625,-0.059112548828125,-0.147308349609375,-0.984954833984375,150761.619451625,-0.003921238239854574,-0.006965497974306345,0.003304450307041407,150761.646775625,21.13197326660156,-81.31924438476562,-14.94317626953125,150761.599537625,0.4078152819000616,-0.05755152278453313,0.147092450567232,0.001260533230379224,0.002715162001550198,-0.0002879411913454533,-0.002559080719947815,0.003237500786781311,0.003591954708099365,XArbitraryCorrectedZVertical,0.07773831759478984,-0.01322620261262697,0.1997961853302212,0.9766592488078033,-0.05689862370491028,-0.1465626060962677,-0.9875636696815491,0.8077850341796875,37.37725830078125,-68.0147705078125,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150758.865942,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
2019-12-21 12:08:33.539 -0500,12,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948112.9974,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.271984445875969,4.808186229622826,-9999,1576948113.530917,0.6788101196289062,37.19504547119141,-67.99123382568359,17.18929290771484,23.06374931335449,21.68445205688477,150761.704104625,-0.0579833984375,-0.1461639404296875,-0.9855499267578125,150761.679190625,-0.003732952754944563,-0.00526586826890707,0.006579872220754623,150761.706975625,20.93623352050781,-81.49627685546875,-14.67462158203125,150761.659277625,0.4078235951652506,-0.05759108662168801,0.1471091739211786,0.0004668522160500288,0.000295502133667469,0.003400673624128103,-0.003984168171882629,0.003117024898529053,0.003724515438079834,XArbitraryCorrectedZVertical,0.07775048025826246,-0.01324349522170098,0.1997983388216725,0.9766576553977475,-0.0569375567138195,-0.1465791463851929,-0.9875589609146118,0.6707706451416016,37.40172576904297,-67.88263702392578,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150758.865942,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
2019-12-21 12:08:33.599 -0500,13,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948112.9974,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.271984445875969,4.808186229622826,-9999,1576948113.578881,0.8002243041992188,37.15419006347656,-68.11749267578125,17.18815994262695,23.0626163482666,21.68575859069824,150761.763843625,-0.0616912841796875,-0.1472930908203125,-0.9843597412109375,150761.738930625,-0.004320180043578148,-0.008725314401090145,0.003319097682833672,150761.737078625,21.23385620117188,-81.55305480957031,-14.81411743164062,150761.719017625,0.4078401899316242,-0.05757458499579338,0.147113585866536,0.0007015387527644634,-0.002648093737661839,-0.0007429649122059345,-0.00207824632525444,0.002785801887512207,0.003877401351928711,XArbitraryCorrectedZVertical,0.07775109395613036,-0.01323434202552169,0.1998069887470694,0.9766559635256432,-0.05692122131586075,-0.1465835124254227,-0.9875592589378357,0.8208904266357422,37.26153564453125,-67.94381713867188,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150758.865942,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
2019-12-21 12:08:33.658 -0500,14,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948112.9974,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.271984445875969,4.808186229622826,-9999,1576948113.628913,0.7584133148193359,37.2205810546875,-67.89934539794922,17.1892032623291,23.06365966796875,21.68218612670898,150761.823579875,-0.0617523193359375,-0.146820068359375,-0.9847869873046875,150761.798666875,-0.0008644621120765805,-0.009150621481239796,0.003196325851604342,150761.797281875,21.13487243652344,-81.55130004882812,-14.891357421875,150761.778753875,0.4078174230599292,-0.05757707638908029,0.1470914785435253,0.0009543332271277905,-3.804359585046768e-05,-0.0009863616432994604,-0.001312613487243652,0.003602653741836548,0.002232611179351807,XArbitraryCorrectedZVertical,0.07774041058917593,-0.01323869701409454,0.1997962592467622,0.9766588938617267,-0.05692386999726295,-0.1465616375207901,-0.987562358379364,0.6270179748535156,37.30550384521484,-68.0958251953125,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150758.865942,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
2019-12-21 12:08:33.718 -0500,15,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948112.9974,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.271984445875969,4.808186229622826,-9999,1576948113.678475,0.7666816711425781,37.41886138916016,-67.95445251464844,17.18844413757324,23.06290054321289,21.6555061340332,150761.883319875,-0.0605926513671875,-0.1461639404296875,-0.9846038818359375,150761.858406875,-0.006022472400218248,-0.006412625312805176,0.004956941585987806,150761.857488875,21.01249694824219,-81.50677490234375,-14.95869445800781,150761.838492875,0.4078294659359998,-0.05754460406219718,0.1471521305801683,-0.000534397317096591,0.002058607991784811,0.0005614608526229858,-0.003756813704967499,0.004121646285057068,0.002408504486083984,XArbitraryCorrectedZVertical,0.0777668417538408,-0.01321618621615411,0.1998021063145871,0.9766558576044734,-0.05689128860831261,-0.1466216444969177,-0.9875553250312805,0.7666816711425781,37.41886138916016,-67.95445251464844,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150758.865942,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
2019-12-21 12:08:33.778 -0500,16,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948112.9974,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.271984445875969,4.808186229622826,-9999,1576948113.728256,0.6763248443603516,37.34182739257812,-68.05854797363281,17.18515586853027,23.05961227416992,21.664306640625,150761.943059875,-0.059234619140625,-0.1446075439453125,-0.984344482421875,150761.918145875,-0.002513491315767169,-0.01108407601714134,0.005858688149601221,150761.917697875,21.26911926269531,-81.54876708984375,-14.64936828613281,150761.898232875,0.4078937594003613,-0.05752734280094605,0.1471396684860536,0.0003422156441956758,0.00303672906011343,-2.566026523709297e-05,-0.00334688276052475,0.004780396819114685,0.004089832305908203,XArbitraryCorrectedZVertical,0.07775945866747386,-0.01320652877211821,0.1998344349540506,0.9766499984377022,-0.0568743459880352,-0.1466093063354492,-0.987558126449585,0.8142662048339844,37.30601501464844,-68.15179443359375,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150758.865942,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
2019-12-21 12:08:33.838 -0500,17,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948112.9974,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.271984445875969,4.808186229622826,-9999,1576948113.827844,0.7824077606201172,37.06996154785156,-67.99150848388672,17.1905460357666,23.06500244140625,21.68967819213867,150762.002798875,-0.0649871826171875,-0.1551055908203125,-0.9765472412109375,150761.977885875,0.03237072378396988,-0.01208968553692102,-0.01082175504416227,150761.977905875,21.08262634277344,-81.61578369140625,-14.90525817871094,150761.957972875,0.4079286525291549,-0.05750852136492633,0.1473933244142982,0.009589707478880882,-0.0002036765217781067,-0.003545898711308837,-0.0009419098496437073,0.006150618195533752,0.004556536674499512,XArbitraryCorrectedZVertical,0.07788157118219127,-0.01317010803233769,0.1998467685471848,0.9766381636904551,-0.05685362219810486,-0.1468602269887924,-0.9875220060348511,0.7115554809570312,37.42031860351562,-67.97872924804688,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150758.865942,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
2019-12-21 12:08:33.897 -0500,18,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948112.9974,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.271984445875969,4.808186229622826,-9999,1576948113.877551,0.7582111358642578,37.34191131591797,-68.0899658203125,17.21977996826172,23.09423637390137,21.64348220825195,150762.062538875,-0.0675506591796875,-0.151214599609375,-0.95489501953125,150762.037625875,0.0424281507730484,-0.06825415790081024,-0.004423244390636683,150762.038114875,21.158935546875,-81.39385986328125,-14.86283874511719,150762.017712875,0.4075365635841111,-0.05772609436593876,0.1489414077942278,0.008600875735282898,0.002183847595006227,-0.01942212320864201,-0.00430646538734436,0.01491683721542358,-0.01004773378372192,XArbitraryCorrectedZVertical,0.07865599505517284,-0.01313386723264863,0.1996133987468655,0.9766244469187977,-0.05705529451370239,-0.1483913362026215,-0.9872815012931824,0.6856441497802734,37.34906005859375,-67.97792816162109,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150758.865942,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
2019-12-21 12:08:33.957 -0500,19,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948112.9974,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.271984445875969,4.808186229622826,-9999,1576948113.927323,0.7630558013916016,37.09919738769531,-67.81159973144531,17.26322364807129,23.13768005371094,21.66860961914062,150762.122278875,-0.063201904296875,-0.150482177734375,-0.967926025390625,150762.097365875,0.01468280609697104,-0.0520823746919632,-0.02060221321880817,150762.098319875,21.32693481445312,-81.78565979003906,-14.86796569824219,150762.077451875,0.4066782228971105,-0.05795892915809692,0.1507713703601077,0.02528048120439053,0.01230852585285902,-0.02149199135601521,0.006517075002193451,-0.0006906986236572266,-0.02034974098205566,XArbitraryCorrectedZVertical,0.07956638046985658,-0.01309520883390478,0.1991453657868484,0.976646769844602,-0.05726933851838112,-0.1502007991075516,-0.9869953989982605,0.7361831665039062,37.09091949462891,-68.03022766113281,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150758.865942,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
2019-12-21 12:08:34.017 -0500,20,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948112.9974,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.271984445875969,4.808186229622826,-9999,1576948113.977081,0.7768592834472656,37.00631713867188,-68.03231811523438,17.33852958679199,23.21298599243164,21.66061401367188,150762.182018875,-0.0609893798828125,-0.1460723876953125,-0.977447509765625,150762.157104875,0.02270478010177612,-0.01745169423520565,-0.01483274158090353,150762.158527875,21.12004089355469,-81.98529052734375,-14.80459594726562,150762.137191875,0.4052009876277618,-0.05868045118748907,0.1528133663344647,0.0429762601852417,-0.00701815914362669,-0.0342179611325264,0.001320935785770416,0.005506545305252075,0.003478109836578369,XArbitraryCorrectedZVertical,0.08062462080546354,-0.01329937374477269,0.1983504163686911,0.9767189211549928,-0.05796335265040398,-0.1522193104028702,-0.9866455793380737,0.7768592834472656,37.00631713867188,-68.03231811523438,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150758.865942,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
