loggingTime(txt),activity,accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s)
2019-12-21 12:08:32.882 -0500,Spinning,-0.0614166259765625,-0.14739990234375,-0.9837188720703124,-0.003191798459738493,-0.012012188322842121,0.002688460983335972
2019-12-21 12:08:32.942 -0500,Spinning,-0.0606536865234375,-0.14752197265625,-0.9854888916015624,-0.0046408246271312245,-0.01261938828974962,0.0031744879670441146
2019-12-21 12:08:33.002 -0500,Spinning,-0.06036376953125,-0.1464080810546875,-0.9860382080078124,-0.0041137849912047395,-0.010684868320822721,0.004546815063804388
2019-12-21 12:08:33.061 -0500,Spinning,-0.0596923828125,-0.1477203369140625,-0.9852142333984376,-0.003778226673603058,-0.010342119261622429,0.0035784894134849314
2019-12-21 12:08:33.121 -0500,Spinning,-0.0598602294921875,-0.146759033203125,-0.985076904296875,-0.005085838492959739,-0.009016398340463638,0.0035710327792912717
2019-12-21 12:08:33.180 -0500,Spinning,-0.061248779296875,-0.146087646484375,-0.984954833984375,-0.007365504745393991,-0.007291202433407307,0.003944674041122197
2019-12-21 12:08:33.240 -0500,Spinning,-0.06036376953125,-0.1482086181640625,-0.9822998046875,-0.0023651532828807826,-0.00878896377980709,0.0046453517861664295
2019-12-21 12:08:33.300 -0500,Spinning,-0.060760498046875,-0.1466064453125,-0.9847259521484376,-0.002073803450912237,-0.009350358508527279,0.004093811381608248
2019-12-21 12:08:33.360 -0500,Spinning,-0.0600433349609375,-0.145843505859375,-0.9846649169921876,-0.004504204262048006,-0.009504023008048534,0.0046876962296664715
2019-12-21 12:08:33.419 -0500,Spinning,-0.0614471435546875,-0.1459808349609375,-0.985382080078125,-0.0006809702608734369,-0.008873386308550835,0.0054703992791473866
2019-12-21 12:08:33.479 -0500,Spinning,-0.059112548828125,-0.147308349609375,-0.984954833984375,-0.003921238239854574,-0.006965497974306345,0.003304450307041407
2019-12-21 12:08:33.539 -0500,Spinning,-0.0579833984375,-0.1461639404296875,-0.9855499267578124,-0.0037329527549445633,-0.00526586826890707,0.0065798722207546225
2019-12-21 12:08:33.599 -0500,Spinning,-0.0616912841796875,-0.1472930908203125,-0.9843597412109376,-0.004320180043578148,-0.008725314401090145,0.003319097682833672
2019-12-21 12:08:33.658 -0500,Spinning,-0.0617523193359375,-0.146820068359375,-0.9847869873046876,-0.0008644621120765804,-0.009150621481239796,0.003196325851604342
2019-12-21 12:08:33.718 -0500,Spinning,-0.0605926513671875,-0.1461639404296875,-0.9846038818359376,-0.0060224724002182475,-0.006412625312805176,0.004956941585987806
2019-12-21 12:08:33.778 -0500,Spinning,-0.059234619140625,-0.1446075439453125,-0.984344482421875,-0.002513491315767169,-0.01108407601714134,0.005858688149601221
2019-12-21 12:08:33.838 -0500,Spinning,-0.0649871826171875,-0.1551055908203125,-0.9765472412109376,0.03237072378396988,-0.01208968553692102,-0.01082175504416227
2019-12-21 12:08:33.897 -0500,Spinning,-0.0675506591796875,-0.151214599609375,-0.95489501953125,0.0424281507730484,-0.06825415790081024,-0.0044232443906366825
2019-12-21 12:08:33.957 -0500,Spinning,-0.063201904296875,-0.150482177734375,-0.967926025390625,0.01468280609697104,-0.0520823746919632,-0.020602213218808167
2019-12-21 12:08:34.017 -0500,Spinning,-0.0609893798828125,-0.1460723876953125,-0.977447509765625,0.02270478010177612,-0.01745169423520565,-0.014832741580903532
2019-12-21 12:08:34.077 -0500,Spinning,-0.062835693359375,-0.155853271484375,-0.9871063232421876,0.022697588428854942,-0.03291241079568863,-0.032341692596673965
2019-12-21 12:08:34.137 -0500,Spinning,-0.070068359375,-0.156463623046875,-0.98236083984375,0.0026671558152884236,-0.03860438242554665,-0.03291001170873642
2019-12-21 12:08:34.196 -0500,Spinning,-0.059051513671875,-0.16094970703125,-0.987213134765625,-0.006363090593367815,-0.009141300804913044,-0.03163808584213257
2019-12-21 12:08:34.256 -0500,Spinning,-0.0616912841796875,-0.1771087646484375,-0.9953765869140624,-0.01016208995133638,0.04486600682139397,0.01987543702125549
2019-12-21 12:08:34.316 -0500,Spinning,-0.0467681884765625,-0.1749420166015625,-0.99151611328125,-0.02562946267426014,0.021149227395653718,0.03240827471017838
2019-12-21 12:08:34.375 -0500,Spinning,-0.0474090576171875,-0.14508056640625,-0.98748779296875,-0.1165183559060097,0.00945155881345272,0.06094058230519295
2019-12-21 12:08:34.435 -0500,Spinning,-0.06842041015625,-0.1684417724609375,-0.971282958984375,-0.005962285213172436,-0.04080841690301895,0.008133826777338982
2019-12-21 12:08:34.495 -0500,Spinning,-0.057830810546875,-0.137298583984375,-0.974609375,-0.06541043519973755,-0.007558051031082869,0.03554148226976395
2019-12-21 12:08:34.554 -0500,Spinning,-0.0589752197265625,-0.131256103515625,-0.9773101806640624,-0.060502760112285614,-0.043183155357837684,0.02045760490000248
2019-12-21 12:08:34.614 -0500,Spinning,-0.0699920654296875,-0.136871337890625,-0.99969482421875,-0.001397094340063632,-0.02811232767999172,0.002260224893689156
2019-12-21 12:08:34.674 -0500,Spinning,-0.011688232421875,-0.1371002197265625,-0.9788665771484376,-0.02705185674130917,0.003023220458999276,0.002927346620708704
2019-12-21 12:08:34.734 -0500,Spinning,-0.0858306884765625,-0.143463134765625,-0.9952239990234376,-0.0324719212949276,-0.08936503529548645,-0.0333225354552269
2019-12-21 12:08:34.793 -0500,Spinning,-0.0751953125,-0.099212646484375,-0.975494384765625,-0.0466279573738575,-0.02104083634912968,-0.010465158149600029
